nohup: ignoring input
iter 0: loss 277.6543884277344, worst_drop 0.0026646262083745986, total_drop_violation 0.0, tsv_count 27765.439453125
iter 1: loss 261.8325500488281, worst_drop 0.0026568388356928985, total_drop_violation 0.0, tsv_count 26183.255859375
iter 2: loss 246.2489013671875, worst_drop 0.002693499184622916, total_drop_violation 0.0, tsv_count 24624.890625
iter 3: loss 233.03839111328125, worst_drop 0.003190075168404305, total_drop_violation 0.0, tsv_count 23303.83984375
iter 4: loss 216.14007568359375, worst_drop 0.002974645764574846, total_drop_violation 0.0, tsv_count 21614.0078125
iter 5: loss 201.56964111328125, worst_drop 0.0033291610392546245, total_drop_violation 0.0, tsv_count 20156.96484375
iter 6: loss 188.50128173828125, worst_drop 0.0044332853527147, total_drop_violation 0.0, tsv_count 18850.12890625
iter 7: loss 174.7401885986328, worst_drop 0.0035022966080315854, total_drop_violation 0.0, tsv_count 17474.01953125
iter 8: loss 162.2423553466797, worst_drop 0.004941936496505761, total_drop_violation 0.0, tsv_count 16224.236328125
iter 9: loss 149.21609497070312, worst_drop 0.004387589760088795, total_drop_violation 0.0, tsv_count 14921.6103515625
iter 10: loss 139.05812072753906, worst_drop 0.004548749326521939, total_drop_violation 0.0, tsv_count 13905.8125
iter 11: loss 126.2026138305664, worst_drop 0.00502860042191311, total_drop_violation 0.0, tsv_count 12620.26171875
iter 12: loss 117.03187561035156, worst_drop 0.004747291181589008, total_drop_violation 0.0, tsv_count 11703.1875
iter 13: loss 108.03801727294922, worst_drop 0.0054719597949003385, total_drop_violation 0.0, tsv_count 10803.8017578125
iter 14: loss 97.74044799804688, worst_drop 0.006583786353203558, total_drop_violation 0.0, tsv_count 9774.044921875
iter 15: loss 89.61497497558594, worst_drop 0.005802848707285202, total_drop_violation 0.0, tsv_count 8961.498046875
iter 16: loss 82.203857421875, worst_drop 0.006553325172307889, total_drop_violation 0.0, tsv_count 8220.3857421875
iter 17: loss 74.19781494140625, worst_drop 0.007021187463197354, total_drop_violation 0.0, tsv_count 7419.78173828125
iter 18: loss 68.11552429199219, worst_drop 0.006709468786460837, total_drop_violation 0.0, tsv_count 6811.55224609375
iter 19: loss 62.18095397949219, worst_drop 0.008381289100284794, total_drop_violation 0.0, tsv_count 6218.095703125
iter 20: loss 56.44615936279297, worst_drop 0.007899054904653258, total_drop_violation 0.0, tsv_count 5644.6162109375
iter 21: loss 51.73176956176758, worst_drop 0.00840292930374198, total_drop_violation 0.0, tsv_count 5173.17724609375
iter 22: loss 47.52507781982422, worst_drop 0.009635379156658574, total_drop_violation 0.0, tsv_count 4752.5078125
iter 23: loss 43.088340759277344, worst_drop 0.01078170758502539, total_drop_violation 0.0, tsv_count 4308.833984375
iter 24: loss 39.768680572509766, worst_drop 0.011332786131492134, total_drop_violation 0.0, tsv_count 3976.8681640625
iter 25: loss 36.916961669921875, worst_drop 0.010932888203426971, total_drop_violation 0.0, tsv_count 3691.6962890625
iter 26: loss 33.57224655151367, worst_drop 0.011725280754404155, total_drop_violation 0.0, tsv_count 3357.224853515625
iter 27: loss 30.759477615356445, worst_drop 0.011951960696806485, total_drop_violation 0.0, tsv_count 3075.94775390625
iter 28: loss 28.12627410888672, worst_drop 0.011911863779880183, total_drop_violation 0.0, tsv_count 2812.62744140625
iter 29: loss 26.164329528808594, worst_drop 0.012637498236601763, total_drop_violation 0.0, tsv_count 2616.43310546875
iter 30: loss 24.624095916748047, worst_drop 0.014067876055868678, total_drop_violation 0.0, tsv_count 2462.40966796875
iter 31: loss 22.96599578857422, worst_drop 0.014425638497439497, total_drop_violation 0.0, tsv_count 2296.599609375
iter 32: loss 21.296459197998047, worst_drop 0.015545644489665889, total_drop_violation 0.0, tsv_count 2129.64599609375
iter 33: loss 19.80665397644043, worst_drop 0.017468882268333097, total_drop_violation 0.0, tsv_count 1980.66552734375
iter 34: loss 18.46417236328125, worst_drop 0.017406565450797773, total_drop_violation 0.0, tsv_count 1846.417236328125
iter 35: loss 17.2728271484375, worst_drop 0.017576789459658126, total_drop_violation 0.0, tsv_count 1727.2828369140625
