iter 655: loss 30.38101121468241, worst_drop 0.022018059987668148, total_drop_violation 0.0092958947701151, tsv_count 2945.142333984375
iter 656: loss 35.17214196048131, worst_drop 0.024592997221905, total_drop_violation 0.060225962909256484, tsv_count 2914.95458984375
iter 657: loss 29.793550795531665, worst_drop 0.021915254919788074, total_drop_violation 0.005778430166009995, tsv_count 2921.57080078125
iter 658: loss 29.603663684738123, worst_drop 0.02066775569489354, total_drop_violation 0.0023646283329769487, tsv_count 2936.72021484375
iter 659: loss 30.096650544652665, worst_drop 0.021372630579471585, total_drop_violation 0.007815203108880179, tsv_count 2931.51318359375
iter 660: loss 30.52639985762839, worst_drop 0.022721995127585326, total_drop_violation 0.009886229106069077, tsv_count 2953.77783203125
iter 661: loss 30.42918314078409, worst_drop 0.021346711477764346, total_drop_violation 0.010311995897587002, tsv_count 2939.79833984375
iter 662: loss 29.89125686247552, worst_drop 0.021157088229754706, total_drop_violation 0.002937818105956367, tsv_count 2959.74755859375
iter 663: loss 29.442608687001904, worst_drop 0.020371073617754032, total_drop_violation 0.0006086430223627946, tsv_count 2938.174560546875
iter 664: loss 33.49221091343714, worst_drop 0.02492612202571287, total_drop_violation 0.04126982260483039, tsv_count 2936.52294921875
iter 665: loss 30.7759158155419, worst_drop 0.02151565169306957, total_drop_violation 0.016545512220360405, tsv_count 2912.136474609375
iter 666: loss 29.801285865684974, worst_drop 0.021922735927271342, total_drop_violation 0.006032973555531403, tsv_count 2919.798828125
iter 667: loss 30.02458601458955, worst_drop 0.02174071092978036, total_drop_violation 0.0085904722674775, tsv_count 2916.553955078125
iter 668: loss 30.63448997731015, worst_drop 0.02228756082218708, total_drop_violation 0.013655519127349556, tsv_count 2926.893798828125
iter 669: loss 30.49809537065626, worst_drop 0.021719180492551726, total_drop_violation 0.009096687806904369, tsv_count 2958.8427734375
iter 670: loss 30.353310655617108, worst_drop 0.022121708320969047, total_drop_violation 0.009783354511493356, tsv_count 2937.49755859375
iter 671: loss 29.723170034731407, worst_drop 0.021126420332715945, total_drop_violation 0.002621238158593362, tsv_count 2946.104736328125
iter 672: loss 32.21691530262442, worst_drop 0.023716120048553613, total_drop_violation 0.029058763316771558, tsv_count 2931.10400390625
iter 673: loss 29.58245892276079, worst_drop 0.02008442897200724, total_drop_violation 0.00012066314118212157, tsv_count 2957.039306640625
iter 674: loss 29.341931129140107, worst_drop 0.020775335340121437, total_drop_violation 0.0008671453062936672, tsv_count 2925.521728515625
iter 675: loss 32.855281570055176, worst_drop 0.02352505692379836, total_drop_violation 0.035980870510122095, tsv_count 2925.719482421875
iter 676: loss 39.45875702349312, worst_drop 0.02623028017209328, total_drop_violation 0.10123439411798783, tsv_count 2933.53173828125
iter 677: loss 29.13800621032715, worst_drop 0.019831024288805343, total_drop_violation 0.0, tsv_count 2913.80078125
iter 678: loss 34.75065276323043, worst_drop 0.02462594417055608, total_drop_violation 0.05684145423752887, tsv_count 2906.65087890625
iter 679: loss 30.676790643148383, worst_drop 0.022583156848183128, total_drop_violation 0.012709450010585401, tsv_count 2940.584716796875
iter 680: loss 30.985088608579687, worst_drop 0.0225525858334914, total_drop_violation 0.014150202492046866, tsv_count 2957.0068359375
iter 681: loss 29.7695145116898, worst_drop 0.020858351271403897, total_drop_violation 0.004814247594925346, tsv_count 2928.80908203125
iter 682: loss 30.94470919555721, worst_drop 0.02192688539837806, total_drop_violation 0.016901315588384588, tsv_count 2925.457763671875
iter 683: loss 29.99195152855907, worst_drop 0.02112733783320342, total_drop_violation 0.005846086177924672, tsv_count 2940.734375
iter 684: loss 29.328266143798828, worst_drop 0.019938893426898918, total_drop_violation 0.0, tsv_count 2932.82666015625
iter 685: loss 29.785220704926314, worst_drop 0.02105697096667436, total_drop_violation 0.0016113051022416634, tsv_count 2962.4091796875
iter 686: loss 29.809311556007515, worst_drop 0.020615405020185884, total_drop_violation 0.0033496730246747666, tsv_count 2947.4345703125
iter 687: loss 29.481924057006836, worst_drop 0.019835582319345346, total_drop_violation 0.0, tsv_count 2948.1923828125
iter 688: loss 29.381709966591742, worst_drop 0.020552928627362133, total_drop_violation 0.0017426482193842185, tsv_count 2920.74462890625
iter 689: loss 30.811849877590017, worst_drop 0.022993166768482398, total_drop_violation 0.011904986355245867, tsv_count 2962.13525390625
iter 690: loss 29.677691271598075, worst_drop 0.020343236785077323, total_drop_violation 0.0011153488426897396, tsv_count 2956.61572265625
iter 691: loss 29.699824317318477, worst_drop 0.020764792083717065, total_drop_violation 0.0027289675079015703, tsv_count 2942.69287109375
iter 692: loss 30.697330841195832, worst_drop 0.022833336292234385, total_drop_violation 0.011994060365083312, tsv_count 2949.79248046875
iter 693: loss 29.611765026622393, worst_drop 0.020754155774652117, total_drop_violation 0.0023525249915657305, tsv_count 2937.6513671875
iter 694: loss 32.83221233924742, worst_drop 0.02316431663527152, total_drop_violation 0.03312772641981793, tsv_count 2951.944091796875
iter 695: loss 29.324870346546856, worst_drop 0.020575764164931454, total_drop_violation 0.0005757641649314534, tsv_count 2926.7294921875
iter 696: loss 29.280649185180664, worst_drop 0.019975849009086333, total_drop_violation 0.0, tsv_count 2928.06494140625
iter 697: loss 29.31895704627614, worst_drop 0.020730125909526498, total_drop_violation 0.0016449232459645052, tsv_count 2915.446533203125
iter 698: loss 29.338127152705454, worst_drop 0.020797242406912275, total_drop_violation 0.0016735460021521861, tsv_count 2917.077392578125
iter 699: loss 29.874709005740545, worst_drop 0.022366456068751872, total_drop_violation 0.008895539001497244, tsv_count 2898.515625
iter 700: loss 29.562626281057767, worst_drop 0.02095999013068861, total_drop_violation 0.003826221611847213, tsv_count 2918.00048828125
iter 701: loss 29.45325281934706, worst_drop 0.02058796603639068, total_drop_violation 0.0020585444288221504, tsv_count 2924.739990234375
iter 702: loss 31.509366576012567, worst_drop 0.022805950117656515, total_drop_violation 0.02213866774376825, tsv_count 2929.550048828125
iter 703: loss 30.076363770678167, worst_drop 0.021550032469414004, total_drop_violation 0.008996460124994558, tsv_count 2917.671875
iter 704: loss 30.60356898716148, worst_drop 0.02201192028246335, total_drop_violation 0.01349868730813824, tsv_count 2925.3701171875
iter 705: loss 29.093393325805664, worst_drop 0.019993540547039168, total_drop_violation 0.0, tsv_count 2909.33935546875
iter 706: loss 29.443869179726413, worst_drop 0.020567558507386785, total_drop_violation 0.0031756073856430284, tsv_count 2912.630859375
iter 707: loss 29.10174880123792, worst_drop 0.020068543920582327, total_drop_violation 6.854392058232642e-05, tsv_count 2909.489501953125
iter 708: loss 29.34529740774088, worst_drop 0.02096385894361119, total_drop_violation 0.002717386003678334, tsv_count 2907.35595703125
